method,label,restricted_mean_vpt_lt,restricted_mean_vpt_lt_ci_lower,restricted_mean_vpt_lt_ci_upper,nrmse_auc_0_1LT,nrmse_auc_0_1LT_ci_lower,nrmse_auc_0_1LT_ci_upper,nrmse_auc_0_2LT,nrmse_auc_0_2LT_ci_lower,nrmse_auc_0_2LT_ci_upper,nrmse_auc_0_5LT,nrmse_auc_0_5LT_ci_lower,nrmse_auc_0_5LT_ci_upper,rq_mmd,rq_mmd_ci_lower,rq_mmd_ci_upper,mean_coordinate_wasserstein,mean_coordinate_wasserstein_ci_lower,mean_coordinate_wasserstein_ci_upper,covariance_relative_error,covariance_relative_error_ci_lower,covariance_relative_error_ci_upper,vpt_censoring_fraction,forecast_context_steps,run_count
sindy_weak_weighted,Endpoint-weighted Weak-form SINDy,6.9329753382894825,6.822461408878413,7.049746406835017,0.0006892160136326996,0.0006196675031360166,0.0007627238874122881,0.0029289074058870797,0.0019441668365001816,0.004307422168315984,0.02231864182684992,0.018199762473058757,0.027009071002953217,0.00063585291440144,0.0004330638326132,0.00083864199618968,0.13183759631313308,0.07499176003029719,0.23040502593539366,0.0077368434560182,0.0049566681107656,0.012196122202155378,0.0,512,15
sindy_weak,Weak-form SINDy,6.968328073303086,6.854442884054979,7.094050553309366,0.0006785844694303545,0.0006100435139485966,0.0007496848181565118,0.002891590777756295,0.0019255417885757837,0.004247337592097371,0.022111890352696652,0.017972169669386164,0.026941283642880412,0.0007713043032690801,0.0005046633241524401,0.0010085811798922202,0.12338918157179858,0.05491479837571314,0.21622170734735233,0.007388809731771419,0.0046426654357861015,0.010851796216681583,0.0,512,15
panda_zero_shot,"Panda (pretrained, zero-shot)",2.2168557859277183,2.1218692763171405,2.3086277942288804,0.08176286257980211,0.0757657665180312,0.08782540369531273,0.19775087343730643,0.18290455677998804,0.21290590385688465,0.6250596696922334,0.6061306829550938,0.6443624355436516,0.0572814105669893,0.054253784832784036,0.060054015290233534,3.3047534873531297,3.241132319920514,3.379413390425253,0.6858800482586056,0.6755106370376364,0.6980400485640001,0.0,512,15
