method,shot_count,metric,estimate,ci_lower,ci_upper,bootstrap_resamples,bootstrap_seed
panda,4,restricted_nrmse_auc_0_5LT,0.6250616111610445,0.604316244316452,0.6464889741262841,10000,2026
panda,16,restricted_nrmse_auc_0_5LT,0.6188823764079642,0.5977319104293117,0.6398053823705921,10000,2026
sindy_weak,1,restricted_nrmse_auc_0_5LT,0.04624126567543031,0.021373763392713567,0.07722465622406112,10000,2026
sindy_weak,4,restricted_nrmse_auc_0_5LT,0.023254480637004506,0.01745189766693761,0.030118734001397383,10000,2026
sindy_weak,16,restricted_nrmse_auc_0_5LT,0.023027499517440354,0.018247495662180414,0.028979167242408857,10000,2026
sindy_weak_weighted,1,restricted_nrmse_auc_0_5LT,0.09360611879481825,0.049311154197758486,0.16582849969309416,10000,2026
sindy_weak_weighted,4,restricted_nrmse_auc_0_5LT,0.02647804870818169,0.02031565783065339,0.03509074078510722,10000,2026
sindy_weak_weighted,16,restricted_nrmse_auc_0_5LT,0.02453711159348041,0.019171129584516534,0.032143558362651835,10000,2026
panda,0,mean_coordinate_point_crps_native,0.08309389407320256,0.07488525575631198,0.09215882774515663,10000,2026
panda,1,mean_coordinate_point_crps_native,0.083090665967813,0.07488368542178173,0.09215394437319857,10000,2026
panda,4,mean_coordinate_point_crps_native,0.08299505693061701,0.07476082722322672,0.09208253755960878,10000,2026
panda,16,mean_coordinate_point_crps_native,0.08335806094151835,0.07537363540133442,0.0923388523308603,10000,2026
sindy_weak,1,mean_coordinate_point_crps_native,0.0014866757014166062,0.0007757689081083764,0.002805484339836518,10000,2026
sindy_weak,4,mean_coordinate_point_crps_native,0.0008106395277835369,0.0006823166439164594,0.0009630581889819861,10000,2026
sindy_weak,16,mean_coordinate_point_crps_native,0.0008828699231008952,0.0007177496226186718,0.0011156314992483499,10000,2026
sindy_weak_weighted,1,mean_coordinate_point_crps_native,0.0035113557485995255,0.0014222098180397154,0.0069116534468140894,10000,2026
sindy_weak_weighted,4,mean_coordinate_point_crps_native,0.0009450558650692612,0.0007192234547458151,0.0012313283233670585,10000,2026
sindy_weak_weighted,16,mean_coordinate_point_crps_native,0.0009181674195954316,0.0007009564065725848,0.0011933525856746869,10000,2026
