run_id,method,track,data_seed,model_seed,noise_level,forecast_horizon_lt,full_forecast_horizon_lt,full_horizon_vpt_censoring_fraction,full_horizon_restricted_mean_vpt_lt,restricted_mean_vpt_lt,median_vpt_lt,vpt_censoring_fraction,mean_normalized_squared_error,inference_wall_time_seconds,inference_seconds_per_trajectory,vector_field_evaluations,surrogate_evaluations,integration_internal_step,training_vector_field_evaluations,training_wall_time_seconds,parameter_count,optimizer_updates,peak_gpu_memory_bytes,parameter_relative_error,coefficient_relative_error,median_nrmse_auc_0_1LT,median_nrmse_auc_0_2LT,median_nrmse_auc_0_5LT,median_pinn_in_domain_auc_0_2LT,median_pinn_extrapolation_auc_2_5LT,stability_fraction,rq_mmd,covariance_relative_error,wasserstein_x,wasserstein_y,wasserstein_z,lyapunov_spectrum,lyapunov_spectrum_relative_error
lorenz_ad__d1__m0__n0,lorenz_ad,known_form_hidden_parameters,1,0,0.0,21.520495746028217,21.520495746028217,0.0,10.851591233566012,10.851591233566012,10.764815041041704,0.0,0.8992431206522883,1.0036720633506775,0.0078411879949271,12516864,0,0.001,32000000,709.5231267977506,3,10000,9221632,2.529962976540604e-06,nan,9.466909344218252e-06,2.772034598444789e-05,0.0002545473552645,2.772034598444789e-05,0.000408886246757,1.0,0.0003899582799165,0.0025101856106567,0.0317116701510639,0.0349923273989182,0.0301664333374621,"[0.9099615753604184, 0.04555880629884843, -14.622235659641905]",0.0040734032429377
lorenz_ad__d1__m1__n0,lorenz_ad,known_form_hidden_parameters,1,1,0.0,21.520495746028217,21.520495746028217,0.0,10.913890259942429,10.913890259942429,10.741979200903728,0.0,0.8872745995947074,1.1669733989983797,0.0091169796796748,12516864,0,0.001,32000000,707.0627155806869,3,10000,9221632,3.621458869300765e-06,nan,7.938476727989495e-06,2.094999422467716e-05,0.0002206159701838,2.094999422467716e-05,0.0003405087907499,1.0,0.0006394022316287,0.003255950897972,0.058032528759928,0.0611495958013887,0.0773680580348046,"[1.0191079906656852, -0.0515442273421086, -14.634320935118076]",0.0088609459119222
lorenz_ad__d1__m2__n0,lorenz_ad,known_form_hidden_parameters,1,2,0.0,21.520495746028217,21.520495746028217,0.0,11.12091142319326,11.12091142319326,11.061680962835387,0.0,0.8770981602083062,1.3407680559903383,0.0104747504374245,12516864,0,0.001,32000000,689.110433427617,3,10000,9221632,4.256642327768072e-06,nan,8.969503569859556e-06,2.073296868289831e-05,0.0002139006563419,2.073296868289831e-05,0.0003109878703143,1.0,0.0001970876310997,0.0040491561602978,0.0560382088588471,0.0570499091253805,0.0207356995421931,"[1.0082849581490876, -0.028020827330446807, -14.647044503321256]",0.008134400542835
lorenz_ad_tapered__d1__m0__n0,lorenz_ad_tapered,known_form_hidden_parameters,1,0,0.0,21.520495746028217,21.520495746028217,0.0,11.385664444792916,11.385664444792916,11.32200954040831,0.0,0.8501150969006339,1.3351192399859428,0.0104306190623901,12516864,0,0.001,32000000,698.8017301224172,3,10000,9221632,3.624087816514922e-06,nan,1.24720539753677e-05,2.881217821519125e-05,0.0001800681300895,2.881217821519125e-05,0.0002845896104153,1.0,0.0006709183321675,0.0053516043451619,0.1008807512861467,0.1049167830158399,0.0430393219027368,"[0.9322980337666278, -0.0298982020823897, -14.569182614504331]",0.0026760062154323
lorenz_ad_tapered__d1__m1__n0,lorenz_ad_tapered,known_form_hidden_parameters,1,1,0.0,21.520495746028217,21.520495746028217,0.0,10.902829149875592,10.902829149875592,10.773949377096894,0.0,0.897576437112359,1.0026732627302408,0.00783338486508,12516864,0,0.001,32000000,702.5804338753223,3,10000,9221632,2.0564167457279884e-06,nan,9.24606697998022e-06,2.919102381620744e-05,0.0002352772897775,2.919102381620744e-05,0.0003767043295141,1.0,0.0004025002686138,0.0029485371523206,0.0335693729059698,0.0367184998968638,0.0273053481187673,"[0.9467346863678762, -0.0038470507275401465, -14.609585391672818]",0.0029867046108938
lorenz_ad_tapered__d1__m2__n0,lorenz_ad_tapered,known_form_hidden_parameters,1,2,0.0,21.520495746028217,21.520495746028217,0.0,9.89020236375724,9.89020236375724,9.90618745185382,0.0,0.959145478151756,1.132610371336341,0.0088485185260651,12516864,0,0.001,32000000,709.9749272037297,3,10000,9221632,1.1187171557381226e-05,nan,2.2571718368321403e-05,5.535619061092905e-05,0.0006467893822168,5.535619061092905e-05,0.0009605588620356,1.0,0.0002233552633561,0.0034995763687017,0.0561132452913516,0.0545200424998305,0.0219960552999855,"[1.0170739120434775, -0.031270068058907405, -14.652214905760973]",0.0088644095423906
node_soft_dtw__d1__m0__n0,node_soft_dtw,state_only_dynamics,1,0,0.0,21.520495746028217,21.520495746028217,0.0,1.7370224524952012,1.7370224524952012,1.6441804899342445,0.0,1.7739966994501857,30.96545699238777,0.2419176327530294,12516864,0,0.001,25600000,1234.7537357881663,33923,5000,30950400,nan,nan,0.069749154549952,0.2588122155884955,0.76961583179583,0.2588122155884955,1.115388686802982,1.0,0.0044849688456849,0.0799605687522586,1.6043832968363998,1.5956988503430347,0.1597772284315888,"[0.9073244934685705, 0.006381371869540364, -13.345486170539658]",0.0846311511391124
node_soft_dtw__d1__m1__n0,node_soft_dtw,state_only_dynamics,1,1,0.0,21.520495746028217,21.520495746028217,0.0,3.0303159863093643,3.0303159863093643,3.1011070907370883,0.0,1.636570375694933,19.21740537136793,0.1501359794638119,12516864,0,0.001,25600000,1180.7119436599314,33923,5000,30950400,nan,nan,0.0234900602275772,0.0607080182923242,0.4325034679893271,0.0607080182923242,0.657159213186581,1.0,0.0003521720381838,0.0258855171214136,0.1700459557361011,0.1994602916056465,0.2653227927996117,"[0.8407142568365833, 0.0077772428392650595, -11.21015422378812]",0.2308335567837989
node_soft_dtw__d1__m2__n0,node_soft_dtw,state_only_dynamics,1,2,0.0,21.520495746028217,21.520495746028217,0.0,2.564750295496386,2.564750295496386,2.484539407011747,0.0,1.672565701448167,18.98358222283423,0.1483092361158924,12516864,0,0.001,25600000,1234.4495284501463,33923,5000,30950400,nan,nan,0.0263626601393102,0.0758646462446219,0.5461920314215445,0.0758646462446219,0.8223277074273073,1.0,0.0011190611855222,0.0259437988634751,0.5052712309243824,0.5147162822601424,0.2146330567014815,"[0.8370506520186886, -0.017018319547366368, -12.477660195149216]",0.1441274107534499
node_strong__d1__m0__n0,node_strong,state_only_dynamics,1,0,0.0,21.520495746028217,21.520495746028217,0.0,2.584303483614528,2.584303483614528,2.5073752471497226,0.0,1.6830436853342374,17.9298741184175,0.1400771415501367,12516864,0,0.001,6560000,13.846614476293324,33923,5000,25560064,nan,nan,0.0319655463416333,0.0790399220444973,0.5603699664489226,0.0790399220444973,0.842835304492098,1.0,0.0006536711678324,0.0202685951662164,0.0791902137777632,0.0972555276912755,0.1351546332065637,"[1.0439441736108785, -0.038799626374089194, -9.143385112648255]",0.3723543962145485
node_strong__d1__m1__n0,node_strong,state_only_dynamics,1,1,0.0,21.520495746028217,21.520495746028217,0.0,2.992208678079117,2.992208678079117,2.9595248818816398,0.0,1.6207688988621114,16.75063395127654,0.1308643277443479,12516864,0,0.001,6560000,13.707146046683192,33923,5000,25560064,nan,nan,0.0204226681197366,0.0582645656981272,0.4145046903229612,0.0582645656981272,0.6162352670546389,1.0,0.0001766653975638,0.0164989375719073,0.1784064621280764,0.1625259258514952,0.1907759228375528,"[1.0202057117355285, -0.02214374685958504, -9.130308226403086]",0.3732070339596988
node_strong__d1__m2__n0,node_strong,state_only_dynamics,1,2,0.0,21.520495746028217,21.520495746028217,0.0,2.4993113411009995,2.4993113411009995,2.3703602063218687,0.0,1.6750123236660497,19.294233825057745,0.1507362017582636,12516864,0,0.001,6560000,13.983956895768642,33923,5000,25560064,nan,nan,0.0409069188260778,0.0985902811927474,0.5699702419561697,0.0985902811927474,0.8359476411179163,1.0,0.0024453294848383,0.0233022313704422,0.6887471986567615,0.714395686032891,0.1610041058638382,"[0.8959639134219689, 0.05134402321307146, -9.11260872176443]",0.3743605016182142
node_weak__d1__m0__n0,node_weak,state_only_dynamics,1,0,0.0,21.520495746028217,21.520495746028217,0.0,2.6059975317456043,2.6059975317456043,2.4754050709565565,0.0,1.6473867689044108,19.130545487627387,0.1494573866220889,12516864,0,0.001,6560000,17.46045601926744,33923,5000,24168448,nan,nan,0.0279508864817301,0.0714509447187663,0.4933053159757777,0.0714509447187663,0.7550920475844446,1.0,0.0008717550966725,0.0055240470130476,0.2064035144678306,0.2173893435397458,0.0639803642240771,"[0.9037363207342803, -0.008193582841821354, -8.902192832585664]",0.3887460928409674
