run_id,method,track,data_seed,model_seed,noise_level,forecast_horizon_lt,full_forecast_horizon_lt,full_horizon_vpt_censoring_fraction,full_horizon_restricted_mean_vpt_lt,restricted_mean_vpt_lt,median_vpt_lt,vpt_censoring_fraction,mean_normalized_squared_error,inference_wall_time_seconds,inference_seconds_per_trajectory,vector_field_evaluations,surrogate_evaluations,integration_internal_step,training_vector_field_evaluations,training_wall_time_seconds,parameter_count,optimizer_updates,peak_gpu_memory_bytes,parameter_relative_error,coefficient_relative_error,median_nrmse_auc_0_1LT,median_nrmse_auc_0_2LT,median_nrmse_auc_0_5LT,median_pinn_in_domain_auc_0_2LT,median_pinn_extrapolation_auc_2_5LT,stability_fraction,rq_mmd,covariance_relative_error,wasserstein_x,wasserstein_y,wasserstein_z,lyapunov_spectrum,lyapunov_spectrum_relative_error
sindy_weighted__d3__m0__n0.05__k1,sindy_weighted,state_only_dynamics,3,0,0.05,21.56616742630417,21.56616742630417,0.0,1.594013003631129,1.594013003631129,1.5528371293823415,0.0,1.9207225774413852,12.981682715937495,0.1014193962182616,12544000,0,0.001,0,0.99116175994277,60,1,0,nan,0.7792568371890294,0.0812829744572653,0.2856722815299463,0.8771404893616535,0.2856722815299463,1.2822426875408368,1.0,0.0027629093247245,0.0898157442706251,0.7215610875966095,0.7055087470677641,1.147849919107085,"[0.7096761354341583, -0.026215059040962642, -5.654191852934553]",0.6112122105023613
sindy_weighted__d3__m0__n0.05__k16,sindy_weighted,state_only_dynamics,3,0,0.05,21.56616742630417,21.56616742630417,0.0,3.1826024952294887,3.1826024952294887,3.0645697465163275,0.0,1.5937557162792575,12.317882239818571,0.0962334549985826,12544000,0,0.001,0,1.0142605286091566,60,1,0,nan,0.6321289846973498,0.0332465090767038,0.0652971976842998,0.3939105193676666,0.0652971976842998,0.5841874411987074,1.0,0.0006953768819737,0.0051484222826549,0.1051220616934565,0.0953496816970225,0.1309125810957767,"[1.052306455258593, -0.045700533951291464, -6.0160506787008865]",0.5863691979139448
sindy_weighted__d3__m0__n0.05__k4,sindy_weighted,state_only_dynamics,3,0,0.05,21.56616742630417,21.56616742630417,0.0,1.98864486601552,1.98864486601552,1.9684494198934976,0.0,1.8370948524379052,12.53181649558246,0.0979048163717379,12544000,0,0.001,0,0.984968607313931,60,1,0,nan,0.6838918855843236,0.055075244067343,0.1656743570499422,0.7143157883761195,0.1656743570499422,1.0604006773441064,1.0,0.0011535115294012,0.0554484285662422,0.509534068860594,0.5401972341956325,0.6290291969902986,"[1.0172142024835316, -0.07930867331328308, -5.949964125401083]",0.5908751439708583
sindy_weighted__d3__m0__n0.05__k64,sindy_weighted,state_only_dynamics,3,0,0.05,21.56616742630417,21.56616742630417,0.0,3.385912834457903,3.385912834457903,3.3248983240892493,0.0,1.6115929288259816,12.438103929162024,0.0971726869465783,12544000,0,0.001,0,1.0820762142539024,60,1,0,nan,0.5997332316462803,0.0298111719746548,0.05355105832596,0.3934020832215262,0.05355105832596,0.6146860871983238,1.0,0.0003959568375608,0.0222639770737559,0.4693422874520797,0.4550858151520072,0.1760695826170513,"[0.8257789438458836, 0.06332979800301305, -5.932505381146387]",0.5920466050959593
sindy_strong__d4__m0__n0.05__k1,sindy_strong,state_only_dynamics,4,0,0.05,21.14598796776542,21.14598796776542,0.0,2.327543006063165,2.327543006063165,2.2790168457699664,0.0,inf,12.324755536392331,0.096287152628065,12295680,0,0.001,0,0.8954488392919302,60,1,0,nan,1.0170954206203222,0.0454926532326373,0.130889884110972,0.6793250478373635,0.130889884110972,1.0348001603071202,0.9765625,0.0022803460291938,0.0998164921752508,0.7847909731687701,0.74287727535558,1.1935289757735144,"[0.7459667716967088, 0.04214251301639057, -6.254916102498499]",0.5700561953325078
sindy_strong__d4__m0__n0.05__k16,sindy_strong,state_only_dynamics,4,0,0.05,21.14598796776542,21.14598796776542,0.0,3.0654260905215014,3.0654260905215014,3.096539922709493,0.0,1.5825804921683917,12.026982789859176,0.0939608030457748,12295680,0,0.001,0,0.9100066181272268,60,1,0,nan,0.6032475766911443,0.0264497999240947,0.0516998848257379,0.4282666507603716,0.0516998848257379,0.6599307165734307,1.0,0.0008018693487474,0.018018493507692,0.1472986337578524,0.1164749549872676,0.2157042369029508,"[0.8844901366589969, -0.014754922445066796, -5.8368417625716225]",0.5985531929151151
sindy_strong__d4__m0__n0.05__k4,sindy_strong,state_only_dynamics,4,0,0.05,21.14598796776542,21.14598796776542,0.0,2.938615815755305,2.938615815755305,2.868181521329737,0.0,1.6419876360888692,12.35933031141758,0.0965572680579498,12295680,0,0.001,0,0.9938518218696116,60,1,0,nan,0.6032405233823842,0.0275587042350843,0.0653288928153682,0.4670622863190331,0.0653288928153682,0.7191935302728469,1.0,0.0006331211559138,0.0377712283631085,0.3093740220244063,0.2917252607602407,0.4403370832682663,"[0.9468407260754187, 0.019183144445612883, -5.892425119477841]",0.5947500790667435
sindy_strong__d4__m0__n0.05__k64,sindy_strong,state_only_dynamics,4,0,0.05,21.14598796776542,21.14598796776542,0.0,3.1269401348931734,3.1269401348931734,3.082838418626708,0.0,1.645540543505882,12.044739002361894,0.0940995234559523,12295680,0,0.001,0,0.9998335102573036,60,1,0,nan,0.5840684135771268,0.0271108739705924,0.0526006379386433,0.4275042730025274,0.0526006379386433,0.6592559433789366,1.0,0.0018765988367297,0.0255820317904167,0.1943144749572789,0.1806581439371231,0.3196318159802397,"[0.8022757629084215, 0.03404094961588085, -5.945249887510289]",0.5911820394165993
sindy_weighted__d4__m0__n0.05__k1,sindy_weighted,state_only_dynamics,4,0,0.05,21.14598796776542,21.14598796776542,0.0,1.1800420391298898,1.1800420391298898,1.1052546626780195,0.0,inf,11.674188822507858,0.0912046001758426,12295680,0,0.001,0,0.8901109546422958,60,1,0,nan,1.6988174671886545,0.1538435218067969,0.5642920754267239,0.960526536652177,0.5642920754267239,1.2509152995562909,0.9609375,0.1552516065470153,0.4930456839695056,6.373740237501225,6.555786523005874,7.521120172260288,"[-0.7009164160936525, -0.7061573337161364, -8.430875029361454]",0.4379508383138863
sindy_weighted__d4__m0__n0.05__k16,sindy_weighted,state_only_dynamics,4,0,0.05,21.14598796776542,21.14598796776542,0.0,3.004625666154141,3.004625666154141,2.9960622261024006,0.0,1.6311777132448384,12.227592304348946,0.0955280648777261,12295680,0,0.001,0,1.0409154165536163,60,1,0,nan,0.6145474854502061,0.0278248934713312,0.0604981687109681,0.4821296055753615,0.0604981687109681,0.7273154994266067,1.0,0.0017683379986603,0.0313834309305427,0.2388573298873112,0.2320103210931421,0.3537801639213755,"[0.8912936791519456, 0.04800318737744876, -5.8968096091932996]",0.5944547299209044
sindy_weighted__d4__m0__n0.05__k4,sindy_weighted,state_only_dynamics,4,0,0.05,21.14598796776542,21.14598796776542,0.0,2.275805555750564,2.275805555750564,2.201374989300849,0.0,inf,12.222358928993344,0.0954871791327605,12295680,0,0.001,0,0.988399445079267,60,1,0,nan,0.6395024747446537,0.035339571888104,0.1150459299113381,0.650084228568669,0.1150459299113381,0.9681135099027732,0.9921875,0.0023716629922994,0.0655945650969946,0.48137698457962,0.3909157011836267,0.747417649109055,"[0.8048746232833635, 0.026552364628018462, -5.743626762018714]",0.604976799348636
sindy_weighted__d4__m0__n0.05__k64,sindy_weighted,state_only_dynamics,4,0,0.05,21.14598796776542,21.14598796776542,0.0,3.0971821807133733,3.0971821807133733,3.1148085948198734,0.0,1.6348462498841774,12.3714920245111,0.0966522814414929,12295680,0,0.001,0,1.111544819548726,60,1,0,nan,0.5969105958458858,0.0275222575886465,0.0507400750420607,0.4717371134991305,0.0507400750420607,0.7340224626808715,1.0,0.0016677595088989,0.0532334749457575,0.9090303055959336,0.9304961792116592,0.57852529408155,"[0.7415509750736762, 0.09838215509442436, -6.02263211895813]",0.5859879983929581
sindy_strong__d5__m0__n0.05__k1,sindy_strong,state_only_dynamics,5,0,0.05,21.6301077786905,21.6301077786905,0.0,2.743226658574752,2.743226658574752,2.5895842716464346,0.0,inf,13.11101252026856,0.1024297853145981,12581888,0,0.001,0,0.9940359545871617,60,1,0,nan,0.90568812313484,0.0369408458447035,0.0890967560709668,0.5173627100361264,0.0890967560709668,0.7702424648206609,0.9921875,0.0004496466935255,0.0180749262788832,0.1978560255990222,0.1795802227873328,0.1651313789626413,"[1.0009455218963543, -0.07289998007730948, -5.057426512096368]",0.6519424854060341
sindy_strong__d5__m0__n0.05__k16,sindy_strong,state_only_dynamics,5,0,0.05,21.6301077786905,21.6301077786905,0.0,2.6236239458521045,2.6236239458521045,2.575882767563649,0.0,1.6836643271481526,12.729758247733116,0.0994512363104149,12581888,0,0.001,0,0.8931679325178266,60,1,0,nan,0.6081406627416547,0.0288045951106532,0.0662097935369789,0.5523674134833866,0.0662097935369789,0.8189547027302704,1.0,0.0006380340007849,0.0383281692547831,0.4393886773157397,0.4465849197738384,0.420273282615647,"[0.9523945007055675, -0.055500564508221314, -5.932455778410488]",0.5920236857201442
sindy_strong__d5__m0__n0.05__k4,sindy_strong,state_only_dynamics,5,0,0.05,21.6301077786905,21.6301077786905,0.0,3.2249201614851746,3.2249201614851746,3.2198534594545616,0.0,1.659953099534772,12.884791312739251,0.1006624321307754,12581888,0,0.001,0,0.8972917450591922,60,1,0,nan,0.6372001337906347,0.0272536264964561,0.0542837669206715,0.4008680366275268,0.0542837669206715,0.6224803950977412,1.0,0.0004323242146984,0.0251242654405902,0.2135543428527473,0.186894975251973,0.2973591256504024,"[0.9749182450255611, -0.09467440231455004, -5.8533448251948395]",0.59747066589478
sindy_strong__d5__m0__n0.05__k64,sindy_strong,state_only_dynamics,5,0,0.05,21.6301077786905,21.6301077786905,0.0,2.719605836432033,2.719605836432033,2.6946291362811223,0.0,1.6202878138703647,12.60620111785829,0.0984859462332679,12581888,0,0.001,0,0.9756706608459352,60,1,0,nan,0.5972595818486219,0.0289865316739328,0.0567522307074936,0.4752270557425935,0.0567522307074936,0.7087209656432969,1.0,0.0010102694918319,0.0328798129968895,0.3000056850940217,0.2941088252585359,0.4236814142902288,"[0.9885880973069958, -0.07433848435071033, -5.866746030645982]",0.5965470570956778
sindy_weighted__d5__m0__n0.05__k1,sindy_weighted,state_only_dynamics,5,0,0.05,21.6301077786905,21.6301077786905,0.0,2.1571305490335213,2.1571305490335213,2.036956940307425,0.0,inf,13.106193231418729,0.1023921346204588,12581888,0,0.001,0,0.9502281155437232,60,1,0,nan,1.328429452980026,0.0795366135856164,0.1982356368273585,0.6901053848047614,0.1982356368273585,1.020783662867975,0.8828125,0.1530047961803871,0.5140763818589259,6.16938065705608,6.270875009448489,4.508015040921692,"[nan, nan, nan]",nan
sindy_weighted__d5__m0__n0.05__k16,sindy_weighted,state_only_dynamics,5,0,0.05,21.6301077786905,21.6301077786905,0.0,2.3216913220278084,2.3216913220278084,2.2927183498527515,0.0,1.7412827424885209,12.634445244446397,0.0987066034722374,12581888,0,0.001,0,0.8998534753918648,60,1,0,nan,0.6312400069744027,0.0310224202072702,0.0949975599625543,0.6380118756390414,0.0949975599625543,0.9690664820221128,1.0,0.0004735043575989,0.0615265614173544,0.5424541148535196,0.5271906922599338,0.7157869199650535,"[0.942375653854352, -0.07505950971881029, -5.754153307480572]",0.6042345246268022
sindy_weighted__d5__m0__n0.05__k4,sindy_weighted,state_only_dynamics,5,0,0.05,21.6301077786905,21.6301077786905,0.0,2.5927241996654065,2.5927241996654065,2.5028080791221274,0.0,1.6424988663736195,12.949163625016809,0.1011653408204438,12581888,0,0.001,0,0.947430950589478,60,1,0,nan,0.7561887947390823,0.0339328166919973,0.076778972615579,0.533634645559633,0.076778972615579,0.8324612930066283,1.0,0.0008165876253922,0.0378558171431608,0.3172987688303307,0.3159621150659245,0.4720922131097931,"[0.9671961872194681, -0.0703760009453266, -5.502190062859621]",0.6214841937774607
sindy_weighted__d5__m0__n0.05__k64,sindy_weighted,state_only_dynamics,5,0,0.05,21.6301077786905,21.6301077786905,0.0,2.622553515845637,2.622553515845637,2.6261216158671954,0.0,1.6485711433479335,12.520981265231969,0.0978201661346247,12581888,0,0.001,0,0.9664401579648256,60,1,0,nan,0.6046036165123111,0.0286598396087078,0.0614664671822945,0.502218499905984,0.0614664671822945,0.7640965523231706,1.0,0.0005845879179271,0.0458304165540367,0.4018636440130875,0.3871544005841886,0.5630227483765701,"[0.9655235171527743, -0.0670997580431399, -5.864579241827329]",0.5966797030460237
