method,metric,estimate,ci_lower,ci_upper,bootstrap_resamples,bootstrap_seed,track,noise_level
lorenz_ad_tapered,rq_mmd,0.0007239637823244666,0.0005323361892352151,0.0009138353443555518,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad,wasserstein_x,0.18970828819659027,0.11867746914474848,0.27182943518041575,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad_tapered,wasserstein_x,0.16119962616730746,0.0998522456654883,0.2404304113683084,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad,wasserstein_y,0.19419300337793832,0.12338446539581911,0.27702722243255706,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad_tapered,wasserstein_y,0.16766782312395592,0.1065222054212716,0.2460669705995325,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad,wasserstein_z,0.056848971351869976,0.037863531031285445,0.07922994821565545,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad_tapered,wasserstein_z,0.06060508347234585,0.037198651639409705,0.09477500301804215,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad,covariance_relative_error,0.00832836141186554,0.005948302721814603,0.011173631915228476,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad_tapered,covariance_relative_error,0.007582738366928552,0.004950538138525063,0.010812197215392434,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad,lyapunov_spectrum_relative_error,0.006495783866545666,0.004808898998738517,0.008577010920768721,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad_tapered,lyapunov_spectrum_relative_error,0.006468004693865441,0.004685146067312274,0.008329145318838703,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad,parameter_relative_error,0.00030765843934368295,0.00023233998585470286,0.00039800626170969776,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad_tapered,parameter_relative_error,0.00033782725510140676,0.0002821021679773325,0.00040190408866369934,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad,training_wall_time_seconds,705.7828983963777,696.064980464109,715.5493713732499,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad_tapered,training_wall_time_seconds,700.9960147211949,691.1905403323814,712.0825101908234,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad,inference_seconds_per_trajectory,0.008879848131133804,0.008295093743848408,0.009551913674343502,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad_tapered,inference_seconds_per_trajectory,0.00882155769213564,0.008400657209276638,0.009257693394756607,10000,2026,known_form_hidden_parameters,0.001
lorenz_ad,vpt_restricted_lt,4.540745057568808,4.227304359681662,4.820969836608613,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad_tapered,vpt_restricted_lt,4.519607633041093,4.227066010600199,4.814375749895425,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad,nrmse_auc_0_1LT,0.011334874916979498,0.008211896738593957,0.014767932624012485,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad_tapered,nrmse_auc_0_1LT,0.011859242150836146,0.009020389250558236,0.014688158771606778,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad,nrmse_auc_0_2LT,0.03322810203087412,0.02469273343119939,0.04303638393965605,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad_tapered,nrmse_auc_0_2LT,0.03553838024699824,0.025980911862783836,0.045469538105778105,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad,nrmse_auc_0_5LT,0.19390213293439623,0.16009505956021533,0.23542035908417985,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad_tapered,nrmse_auc_0_5LT,0.20447269453496025,0.16780810836055624,0.24518975995942116,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad,stability_fraction,1.0,1.0,1.0,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad_tapered,stability_fraction,1.0,1.0,1.0,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad,rq_mmd,0.0006512978881240534,0.0005272495215501168,0.0007787827870704982,10000,2026,known_form_hidden_parameters,0.01
lorenz_ad_tapered,rq_mmd,0.0008700222036646134,0.0004857741065661688,0.0013053365748907234,10000,2026,known_form_hidden_parameters,0.01
